Country Name,Year,Agriculture GDP %,Predicted Agriculture GDP %,Data Type
Pakistan,1960,43.1892013,35.22748640179009,Actual
Pakistan,1961,41.72742569,34.96298998716691,Actual
Pakistan,1962,40.02923264,34.69849357254361,Actual
Pakistan,1963,38.84001451,34.43399715792043,Actual
Pakistan,1964,38.3240539,34.169500743297135,Actual
Pakistan,1965,36.96830175,33.90500432867384,Actual
Pakistan,1966,33.83689668,33.64050791405066,Actual
Pakistan,1967,35.05317054,33.376011499427364,Actual
Pakistan,1968,36.54167537,33.11151508480407,Actual
Pakistan,1969,33.95003507,32.84701867018089,Actual
Pakistan,1970,33.43176059,32.58252225555759,Actual
Pakistan,1971,31.96629324,32.31802584093441,Actual
Pakistan,1972,32.80229729,32.053529426311115,Actual
Pakistan,1973,32.45866177,31.78903301168782,Actual
Pakistan,1974,31.87668838,31.52453659706464,Actual
Pakistan,1975,30.16018636,31.260040182441344,Actual
Pakistan,1976,29.40842564,30.995543767818162,Actual
Pakistan,1977,29.36132703,30.731047353194867,Actual
Pakistan,1978,28.6768292,30.466550938571572,Actual
Pakistan,1979,27.77980145,30.20205452394839,Actual
Pakistan,1980,26.54550579,29.937558109325096,Actual
Pakistan,1981,27.46229277,29.6730616947018,Actual
Pakistan,1982,28.44776792,29.40856528007862,Actual
Pakistan,1983,27.27320129,29.144068865455324,Actual
Pakistan,1984,24.90459788,28.879572450832143,Actual
Pakistan,1985,25.68912459,28.615076036208848,Actual
Pakistan,1986,25.03265103,28.350579621585553,Actual
Pakistan,1987,23.63545213,28.08608320696237,Actual
Pakistan,1988,23.15332349,27.821586792339076,Actual
Pakistan,1989,23.91363374,27.557090377715895,Actual
Pakistan,1990,23.06707339,27.2925939630926,Actual
Pakistan,1991,22.84244562,27.028097548469304,Actual
Pakistan,1992,23.31001292,26.763601133846123,Actual
Pakistan,1993,22.19793997,26.499104719222828,Actual
Pakistan,1994,22.75282452,26.234608304599533,Actual
Pakistan,1995,23.42187937,25.97011188997635,Actual
Pakistan,1996,23.19579581,25.705615475353056,Actual
Pakistan,1997,24.48425079,25.441119060729875,Actual
Pakistan,1998,25.30313827,25.17662264610658,Actual
Pakistan,1999,25.16928551,24.912126231483285,Actual
Pakistan,2000,25.38713604,24.647629816860103,Actual
Pakistan,2001,24.1449605,24.38313340223681,Actual
Pakistan,2002,22.70262754,24.118636987613513,Actual
Pakistan,2003,22.15193734,23.85414057299033,Actual
Pakistan,2004,22.00189001,23.589644158367037,Actual
Pakistan,2005,21.5745097,23.325147743743855,Actual
Pakistan,2006,20.41834605,23.06065132912056,Actual
Pakistan,2007,19.93795143,22.796154914497265,Actual
Pakistan,2008,20.35136528,22.531658499874084,Actual
Pakistan,2009,21.78692297,22.26716208525079,Actual
Pakistan,2010,22.68881017,22.002665670627607,Actual
Pakistan,2011,23.81964298,21.738169256004312,Actual
Pakistan,2012,23.38619553,21.473672841381017,Actual
Pakistan,2013,23.70759459,21.209176426757836,Actual
Pakistan,2014,23.49273201,20.94468001213454,Actual
Pakistan,2015,23.26284078,20.680183597511245,Actual
Pakistan,2016,22.3283302,20.415687182888064,Actual
Pakistan,2017,21.96320354,20.15119076826477,Actual
Pakistan,2018,21.65123536,19.886694353641587,Actual
Pakistan,2019,20.67787132,19.622197939018292,Actual
Pakistan,2020,21.85413255,19.357701524394997,Actual
Pakistan,2021,22.66250808,19.093205109771816,Actual
Pakistan,2022,22.3268647,18.82870869514852,Actual
Pakistan,2023,23.4267036,18.564212280525226,Actual
Pakistan,2024,23.74328623,18.299715865902044,Actual
Pakistan,2025,,18.03521945127875,Forecast
Pakistan,2026,,17.770723036655568,Forecast
Pakistan,2027,,17.506226622032273,Forecast
Pakistan,2028,,17.241730207408978,Forecast
Pakistan,2029,,16.977233792785796,Forecast
Pakistan,2030,,16.7127373781625,Forecast
